,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
3306,4884336,CAXIAS - SAAE,CEMADEN,P,-43.35513,-4.88365,,2015-08-17
3307,21804341,JUIZ DE FORA - Passos del Rei,CEMADEN,P,-43.415,-21.797,,2015-07-30
3308,4254301,COELHO NETO - FUNASA,CEMADEN,P,-43.013,-4.251,,2015-08-17
3309,22744690,PEDREIRA - Vila Santo Antonio,CEMADEN,P,-46.895,-22.743,,2015-08-14
3310,22744717,PAULÍNIA - João Aranha,CEMADEN,P,-47.175,-22.736,,2015-08-16
3311,3684275,BREJO - Torre de TV Municipal de Brejo,CEMADEN,P,-42.75438,-3.68176,,2015-08-17
3312,3464487,VITÓRIA DO MEARIM - Prefeitura Municipal,CEMADEN,P,-44.87424,-3.46153,,2015-08-17
3313,4264394,TIMBIRAS - Prefeitura Municipal,CEMADEN,P,-43.93945,-4.25536,,2015-08-17
3314,2724432,SÃO LUÍS - EletronorteSL2,CEMADEN,P,-44.31898,-2.71773,,2015-08-17
3315,5504456,SANTA FILOMENA DO MARANHÃO - Centro Adminstrativo Maria do Carmo,CEMADEN,P,-44.55563,-5.49544,,2015-08-17
3316,3894517,PIO XII - Braxim,CEMADEN,P,-45.1708,-3.88886,,2015-08-17
3317,10313794,CORONEL JOÃO SÁ - CORONEL JOÃO SÁ,CEMADEN,P,-37.94009,-10.31827,,2014-12-04
3318,23494690,BARUERI - ,CEMADEN,P,-46.9056,-23.4992,,2014-12-04
3319,9463556,PARIPUEIRA - Alto da Boa Vista,CEMADEN,P,-35.55892,-9.46292,,2015-08-31
3320,8853557,CAMPESTRE - Campestre,CEMADEN,P,-35.56738,-8.85219,,2015-08-31
3321,23534645,SÃO PAULO - Subprefeitura de Itaquera,CEMADEN,P,-46.447,-23.532,,2015-09-03
3322,22914724,MONTE MOR - ,CEMADEN,P,-47.2469,-22.9122,,2014-12-04
3323,23434630,ITAQUAQUECETUBA - ,CEMADEN,P,-46.3081,-23.4372,,2014-12-04
3324,22784659,PINHALZINHO - ,CEMADEN,P,-46.5925,-22.7857,,2014-12-04
3325,23424736,SOROCABA - ,CEMADEN,P,-47.3614,-23.4256,,2014-12-04
3326,22234311,AREAL - Areal,CEMADEN,H,-43.1014,-22.2313,,2014-12-04
3327,23484634,ITAQUAQUECETUBA - ,CEMADEN,P,-46.3467,-23.4808,,2014-12-04
3328,23654695,COTIA - ,CEMADEN,P,-46.9563,-23.65,,2014-12-05
3329,22334905,BAURU - ,CEMADEN,P,-49.0573,-22.3346,,2014-12-05
3330,10543889,EUCLIDES DA CUNHA - EUCLIDES DA CUNHA,CEMADEN,P,-38.89735,-10.54437,,2014-12-05
3331,23744666,SÃO PAULO - Residencial Cocaia,CEMADEN,P,-46.66,-23.745,,2014-12-05
3332,23724669,SÃO PAULO - Vila Rubi,CEMADEN,P,-46.697,-23.728,,2014-12-05
3333,23544659,SÃO PAULO - Mooca,CEMADEN,P,-46.596,-23.547,,2014-12-05
3334,8823522,BARREIROS - Barreiros,CEMADEN,H,-35.2293,-8.8254,,2014-12-06
3335,23884681,EMBU-GUAÇU - ,CEMADEN,P,-46.8195,-23.8819,,2014-12-07
3336,23434750,SOROCABA - ,CEMADEN,P,-47.5056,-23.435,,2014-12-08
