id,Nr_Bacia,x,y
"684","20",-53.300,-26.100
"685","15",-53.200,-26.100
"686","15",-53.100,-26.100
"687","15",-53.000,-26.100
"688","15",-52.900,-26.100
"689","15",-52.800,-26.100
"690","15",-52.700,-26.100
"691","15",-52.600,-26.100
"692","15",-52.500,-26.100
"693","15",-52.400,-26.100
"694","16",-52.300,-26.100
"695","16",-52.200,-26.100
"696","16",-52.100,-26.100
"697","16",-52.000,-26.100
"698","13",-51.900,-26.100
"699","16",-51.800,-26.100
"700","16",-51.700,-26.100
"701","12",-51.600,-26.100
"702","12",-51.500,-26.100
"703","12",-51.400,-26.100
"704","12",-51.300,-26.100
"705","12",-51.200,-26.100
"706","12",-51.100,-26.100
"707","12",-51.000,-26.100
"708","9",-50.900,-26.100
"709","9",-50.800,-26.100
"710","9",-50.700,-26.100
"711","9",-50.600,-26.100
"712","9",-50.500,-26.100
"713","8",-50.400,-26.100
"714","8",-50.300,-26.100
"715","7",-50.200,-26.100
"716","7",-50.100,-26.100
"717","7",-50.000,-26.100
"718","7",-49.900,-26.100
"719","7",-49.800,-26.100
"720","1",-49.700,-26.100
"721","7",-49.600,-26.100
"722","1",-49.500,-26.100
"723","1",-49.400,-26.100
"724","1",-49.300,-26.100
"725","1",-49.200,-26.100
"737","20",-53.600,-26.200
"738","20",-53.500,-26.200
"739","20",-53.400,-26.200
"740","20",-53.300,-26.200
"741","15",-53.200,-26.200
"742","15",-53.100,-26.200
"743","15",-53.000,-26.200
"744","15",-52.900,-26.200
"745","15",-52.800,-26.200
"746","15",-52.700,-26.200
"747","15",-52.600,-26.200
"748","15",-52.500,-26.200
"749","15",-52.400,-26.200
"750","15",-52.300,-26.200
"751","16",-52.200,-26.200
"752","16",-52.100,-26.200
"753","16",-52.000,-26.200
"754","13",-51.900,-26.200
"755","13",-51.800,-26.200
"756","13",-51.700,-26.200
"757","12",-51.600,-26.200
"758","12",-51.500,-26.200
"759","12",-51.400,-26.200
"760","12",-51.300,-26.200
"761","12",-51.200,-26.200
"762","12",-51.100,-26.200
"763","9",-51.000,-26.200
"764","9",-50.900,-26.200
"765","9",-50.800,-26.200
"766","9",-50.700,-26.200
"767","9",-50.600,-26.200
"768","9",-50.500,-26.200
"769","8",-50.400,-26.200
"770","8",-50.300,-26.200
"771","7",-50.200,-26.200
"772","7",-50.100,-26.200
"773","7",-50.000,-26.200
"774","7",-49.900,-26.200
"775","1",-49.800,-26.200
"776","1",-49.700,-26.200
"777","1",-49.600,-26.200
"778","1",-49.500,-26.200
"779","1",-49.400,-26.200
"780","1",-49.300,-26.200
"781","1",-49.200,-26.200
"794","20",-53.500,-26.300
"797","15",-53.200,-26.300
"798","15",-53.100,-26.300
"799","15",-53.000,-26.300
"800","15",-52.900,-26.300
"801","15",-52.800,-26.300
"802","15",-52.700,-26.300
"803","15",-52.600,-26.300
"804","15",-52.500,-26.300
"805","15",-52.400,-26.300
"806","15",-52.300,-26.300
"807","15",-52.200,-26.300
"808","15",-52.100,-26.300
"809","13",-52.000,-26.300
"810","13",-51.900,-26.300
"811","13",-51.800,-26.300
"812","13",-51.700,-26.300
"813","13",-51.600,-26.300
"814","13",-51.500,-26.300
"815","12",-51.400,-26.300
"816","12",-51.300,-26.300
"817","12",-51.200,-26.300
"818","12",-51.100,-26.300
"819","9",-51.000,-26.300
"820","9",-50.900,-26.300
"821","9",-50.800,-26.300
"822","9",-50.700,-26.300
"823","9",-50.600,-26.300
"824","9",-50.500,-26.300
"825","8",-50.400,-26.300
"826","8",-50.300,-26.300
"827","7",-50.200,-26.300
"828","7",-50.100,-26.300
"829","7",-50.000,-26.300
"830","1",-49.900,-26.300
"831","1",-49.800,-26.300
"832","1",-49.700,-26.300
"833","1",-49.600,-26.300
"834","1",-49.500,-26.300
"835","1",-49.400,-26.300
"859","15",-52.600,-26.400
"860","15",-52.500,-26.400
"861","15",-52.400,-26.400
"862","15",-52.300,-26.400
"863","15",-52.200,-26.400
"864","15",-52.100,-26.400
"865","15",-52.000,-26.400
"866","15",-51.900,-26.400
"867","15",-51.800,-26.400
"868","13",-51.700,-26.400
"869","13",-51.600,-26.400
"870","13",-51.500,-26.400
"871","12",-51.400,-26.400
"872","11",-51.300,-26.400
"873","12",-51.200,-26.400
"874","9",-51.100,-26.400
"875","9",-51.000,-26.400
"876","9",-50.900,-26.400
"877","5",-50.800,-26.400
"878","5",-50.700,-26.400
"879","5",-50.600,-26.400
"880","9",-50.500,-26.400
"881","8",-50.400,-26.400
"882","8",-50.300,-26.400
"884","7",-50.100,-26.400
"885","7",-50.000,-26.400
"886","1",-49.900,-26.400
"887","1",-49.800,-26.400
"888","1",-49.700,-26.400
"889","1",-49.600,-26.400
"890","1",-49.500,-26.400
"921","15",-52.000,-26.500
"922","15",-51.900,-26.500
"923","15",-51.800,-26.500
"924","15",-51.700,-26.500
"925","15",-51.600,-26.500
"926","13",-51.500,-26.500
"927","13",-51.400,-26.500
"928","11",-51.300,-26.500
"929","11",-51.200,-26.500
"930","5",-51.100,-26.500
"931","5",-51.000,-26.500
"932","5",-50.900,-26.500
"933","5",-50.800,-26.500
"934","5",-50.700,-26.500
"935","5",-50.600,-26.500
"936","5",-50.500,-26.500
"937","8",-50.400,-26.500
"938","8",-50.300,-26.500
"943","1",-49.800,-26.500
"944","1",-49.700,-26.500
"945","1",-49.600,-26.500
"946","1",-49.500,-26.500
"983","11",-51.400,-26.600
"984","11",-51.300,-26.600
"985","11",-51.200,-26.600
"986","11",-51.100,-26.600
"987","5",-51.000,-26.600
"988","5",-50.900,-26.600
"989","5",-50.800,-26.600
"990","5",-50.700,-26.600
"991","5",-50.600,-26.600
"992","5",-50.500,-26.600
"993","8",-50.400,-26.600
"994","8",-50.300,-26.600
"995","8",-50.200,-26.600
"1000","1",-49.700,-26.600
"1001","1",-49.600,-26.600
"1039","11",-51.400,-26.700
"1040","11",-51.300,-26.700
"1044","5",-50.900,-26.700
"1045","5",-50.800,-26.700
"1046","5",-50.700,-26.700
"1047","5",-50.600,-26.700
"1048","5",-50.500,-26.700
"1049","8",-50.400,-26.700
"1050","8",-50.300,-26.700
"1103","5",-50.600,-26.800
"1104","5",-50.500,-26.800
"1105","5",-50.400,-26.800
"1106","8",-50.300,-26.800
