,estaltitude,estiniciooperacao,estlatitude,estlongitude,estnome,esttipo,field_1,orgsigla
26075307,,2015/02/24,-26.06924,-53.07376,FRANCISCO BELTRÃO - São Miguel,P,4952.0,CEMADEN
26445269,,2015/03/02,-26.43919,-52.68857,GALVÃO - Escola Linha Santin,P,4957.0,CEMADEN
26455269,,2015/02/28,-26.45139,-52.68987,GALVÃO - Esperança,P,4958.0,CEMADEN
26765317,,2015/02/23,-26.76057,-53.17418,MARAVILHA - Centro Adm. Municipal,P,5050.0,CEMADEN
26455351,,2015/02/20,-26.45164,-53.50752,SÃO JOSÉ DO CEDRO - São Cristovão,P,5060.0,CEMADEN
25355424,,2014/07/25,-25.349,-54.245,SÃO MIGUEL DO IGUAÇU- Centro,P,237.0,CEMADEN
25375427,,2014/08/12,-25.37306,-54.27,SÃO MIGUEL DO IGUAÇU- Rua Noé N. de Medeiros,P,238.0,CEMADEN
25345422,,2014/08/11,-25.344,-54.222,SÃO MIGUEL DO IGUAÇU - Barro Branco,P,1178.0,CEMADEN
25535454,,2017/10/04,-25.53406,-54.54101,FOZ DO IGUAÇU - São Miguel,P,5104.0,CEMADEN
25475458,,2017/10/04,-25.47005,-54.58558,FOZ DO IGUAÇU - Porto Belo,P,5518.0,CEMADEN
25575457,,2017/10/05,-25.57402,-54.57014,FOZ DO IGUAÇU - Vila Boa Esperança,P,5560.0,CEMADEN
