estcodigo,@diffgr:id,@msdata:rowOrder,Altitude,Bacia,CodEstacao,CodRio,Latitude,Longitude,Municipio-UF,NomeEstacao,NomeRio,Operadora,Origem,Responsavel,StatusEstacao,SubBacia,fid,field_1
56,Table3461,3460.0,1000.0,6.0,65815050.0,65150000.0,-25.5383,-51.8189,GUARAPUAVA-PR,UHE SALTO CURUCACA JUSANTE,RIO JORDÃO,00716 - SANTA MARIA - Santa Maria Companhia Papel e Celulose,Setor Elétrico,00716 - SANTA MARIA - Santa Maria Companhia Papel e Celulose,Ativo,65.0,57.0,3460.0
57,Table3462,3461.0,887.0,6.0,65815060.0,65150000.0,-25.5044,-51.7864,CANDÓI-PR,PCH TAGUÁ,RIO JORDÃO,01164 - TAGUÁ - Taguá Energia Ltda,Setor Elétrico,01164 - TAGUÁ - Taguá Energia Ltda,Ativo,65.0,58.0,3461.0
58,Table3463,3462.0,0.0,6.0,65819300.0,65150300.0,-25.6119,-51.6531,PINHÃO-PR,UHE SANTA CLARA RIO PINHÃO,RIO PINHÃO,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,Setor Elétrico,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,Ativo,65.0,59.0,3462.0
59,Table3464,3463.0,811.0,6.0,65824991.0,65150000.0,-25.6558,-51.9522,PINHÃO-PR,UHE SANTA CLARA BARRAMENTO,RIO JORDÃO,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,Setor Elétrico,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,Ativo,65.0,60.0,3463.0
60,Table3465,3464.0,711.0,6.0,65825497.0,65150000.0,-25.7019,-52.005,FOZ DO JORDÃO-PR,UHE FUNDÃO BARRAMENTO,RIO JORDÃO,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,Setor Elétrico,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,Ativo,65.0,61.0,3464.0
61,Table3466,3465.0,616.0,6.0,65826612.0,65150000.0,-25.7542,-52.0872,RESERVA DO IGUAÇU-PR,PCH DERIVAÇÃO DO RIO JORDÃO BARRAMENTO,RIO JORDÃO,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,00028 - COPEL - Copel Geração e Transmissão S.A,Ativo,65.0,62.0,3465.0
62,Table3467,3466.0,554.0,6.0,65826720.0,65150000.0,-25.7675,-52.0906,FOZ DO JORDÃO-PR,PCH BARRA JUSANTE,RIO JORDÃO,00376 - RIO JORDÃO - Rio Jordão Papéis S.A.,Setor Elétrico,00376 - RIO JORDÃO - Rio Jordão Papéis S.A.,Ativo,65.0,63.0,3466.0
63,Table3468,3467.0,901.0,6.0,65831000.0,65140710.0,-26.0528,-52.1783,MANGUEIRINHA-PR,PCH TIGRE BARRAMENTO,RIO MARRECAS,00661 - TIGRE - Tigre Produção de Energia Elétrica Ltda.,Setor Elétrico,00661 - TIGRE - Tigre Produção de Energia Elétrica Ltda.,Ativo,65.0,64.0,3467.0
64,Table3469,3468.0,828.0,6.0,65831020.0,65140710.0,-26.0411,-52.175,MANGUEIRINHA-PR,PCH TIGRE JUSANTE,RIO MARRECAS,00661 - TIGRE - Tigre Produção de Energia Elétrica Ltda.,Setor Elétrico,00661 - TIGRE - Tigre Produção de Energia Elétrica Ltda.,Ativo,65.0,65.0,3468.0
65,Table3470,3469.0,661.0,6.0,65831900.0,65140710.0,-25.9797,-52.1614,MANGUEIRINHA-PR,PCH COVÓ MONTANTE,RIO MARRECAS,00525 - COVÓ - Covó Geração de Energia Elétrica Ltda.,Setor Elétrico,00525 - COVÓ - Covó Geração de Energia Elétrica Ltda.,Ativo,65.0,66.0,3469.0
