idGrade,x,y,bacia
531,-53.5,-25.8,20
532,-53.4,-25.8,20
533,-53.7,-25.7,20
534,-53.6,-25.7,20
535,-53.5,-25.7,20
536,-53.4,-25.7,20
537,-53.9,-25.6,20
538,-53.8,-25.6,20
539,-53.7,-25.6,20
540,-53.6,-25.6,20
541,-53.5,-25.6,20
542,-53.4,-25.6,20
543,-53.9,-25.5,20
544,-53.8,-25.5,20
545,-53.7,-25.5,20
546,-53.6,-25.5,20
547,-53.5,-25.5,20
548,-54.0,-25.4,20
549,-53.9,-25.4,20
550,-53.8,-25.4,20
551,-53.7,-25.4,20
552,-53.6,-25.4,20
553,-53.5,-25.4,20
554,-54.0,-25.3,20
555,-53.9,-25.3,20
556,-53.8,-25.3,20
557,-53.7,-25.3,20
558,-53.6,-25.3,20
559,-53.5,-25.3,20
560,-53.4,-25.3,20
561,-53.9,-25.2,20
562,-53.8,-25.2,20
563,-53.7,-25.2,20
564,-53.6,-25.2,20
565,-53.5,-25.2,20
566,-53.4,-25.2,20
567,-53.3,-25.2,20
568,-53.7,-25.1,20
569,-53.6,-25.1,20
570,-53.5,-25.1,20
571,-53.4,-25.1,20
572,-53.3,-25.1,20
573,-53.5,-25.0,20
574,-53.4,-25.0,20
575,-53.3,-25.0,20
576,-53.7,-26.1,21
577,-53.8,-26.0,21
578,-53.7,-26.0,21
579,-53.9,-25.9,21
580,-53.8,-25.9,21
581,-53.7,-25.9,21
582,-54.0,-25.8,21
583,-53.9,-25.8,21
584,-53.8,-25.8,21
585,-53.7,-25.8,21
586,-54.2,-25.7,21
587,-54.1,-25.7,21
588,-54.0,-25.7,21
589,-53.9,-25.7,21
590,-53.8,-25.7,21
591,-54.4,-25.6,21
592,-54.3,-25.6,21
593,-54.2,-25.6,21
594,-54.1,-25.6,21
595,-54.0,-25.6,21
596,-54.3,-25.5,21
597,-54.2,-25.5,21
598,-54.1,-25.5,21
599,-54.0,-25.5,21
600,-54.2,-25.4,21
601,-54.1,-25.4,21
602,-54.1,-25.3,21
