fid,field_1,@diffgr:id,@msdata:rowOrder,NomeEstacao,CodEstacao,Bacia,SubBacia,Operadora,Responsavel,Municipio-UF,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEstacao
"41","3444",Table3445,"3444",CGH BAITACA JUSANTE,"65280000","6","65",00712 - RIO BONITO - Rio Bonito Energia Ltda.,00712 - RIO BONITO - Rio Bonito Energia Ltda.,PORTO UNIÃO-SC,-26.4406,-50.8344,792,"65130720",RIO BONITO,Setor Elétrico,Ativo
"42","3445",Table3446,"3445",PCH PARDOS JUSANTE,"65293000","6","65",00562 - PARDOS - Hidroelétrica Pardos S.A.,00562 - PARDOS - Hidroelétrica Pardos S.A.,PORTO UNIÃO-SC,-26.4472,-50.9861,911,"65130730",RIO DOS PARDOS,Setor Elétrico,Ativo
"43","3446",Table3447,"3446",UHE GOV. BENTO MUNHOZ UNIÃO DA VITÓRIA,"65310001","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,UNIÃO DA VITÓRIA-PR,-26.2281,-51.0803,739,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
"44","3447",Table3448,"3447",UHE GOV. BENTO MUNHOZ R5 PORTO VITÓRIA,"65365801","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,PORTO VITÓRIA-PR,-26.1653,-51.2281,740,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
"45","3448",Table3449,"3448",UHE GOV. BENTO MUNHOZ JANGADA DO SUL,"65370001","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,GENERAL CARNEIRO-PR,-26.3869,-51.2719,800,"65131200",RIO JANGADA,Setor Elétrico,Ativo
"46","3449",Table3450,"3449",UHE GOV. BENTO MUNHOZ MADEIREIRA GAVAZONI,"65764001","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,CRUZ MACHADO-PR,-25.8075,-51.2886,805,"65140000",RIO DA AREIA,Setor Elétrico,Ativo
"47","3450",Table3451,"3450",UHE GOV. BENTO MUNHOZ BARRAMENTO,"65774400","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,PINHÃO-PR,-26.0094,-51.6647,742,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
"48","3451",Table3452,"3451",UHE GOV. NEY AMINTHAS SOLAIS NOVO,"65775901","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,CORONEL DOMINGOS SOARES-PR,-26.0931,-51.8797,720,"65140300",RIO IRATIM,Setor Elétrico,Ativo
"49","3452",Table3453,"3452",UHE GOV. NEY AMINTHAS BARRAMENTO,"65803001","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,MANGUEIRINHA-PR,-25.7883,-52.1147,607,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
"50","3453",Table3454,"3453",FOZ DO RIO BANANAS,"65808500","6","65",00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,GUARAPUAVA-PR,-25.4431,-51.4464,967,"65150090",RIO BANANAS,RHN,Ativo
"51","3454",Table3455,"3454",CGH ENXADRISTA MONTANTE,"65808900","6","65",01142 - RIO DAS PEDRAS - Energética Rio das Pedras SPE Ltda.,01142 - RIO DAS PEDRAS - Energética Rio das Pedras SPE Ltda.,GUARAPUAVA-PR,-25.3847,-51.3853,1013,"65141400",RIO DAS PEDRAS,Setor Elétrico,Ativo
