fid,id,x,y
"4320","4319",-51.5210000000001,-26.2218
"4321","4320",-51.4810000000001,-26.2218
"4322","4321",-51.4410000000001,-26.2218
"4323","4322",-51.4010000000001,-26.2218
"4324","4323",-51.3610000000001,-26.2218
"4325","4324",-51.3210000000001,-26.2218
"4326","4325",-51.2810000000001,-26.2218
"4327","4326",-51.2410000000001,-26.2218
"4328","4327",-51.2010000000001,-26.2218
"4329","4328",-51.1610000000001,-26.2218
"4330","4329",-51.1210000000001,-26.2218
"4332","4331",-51.0410000000001,-26.2218
"4457","4456",-51.5210000000001,-26.2618
"4458","4457",-51.4810000000001,-26.2618
"4459","4458",-51.4410000000001,-26.2618
"4460","4459",-51.4010000000001,-26.2618
"4461","4460",-51.3610000000001,-26.2618
"4462","4461",-51.3210000000001,-26.2618
"4463","4462",-51.2810000000001,-26.2618
"4464","4463",-51.2410000000001,-26.2618
"4465","4464",-51.2010000000001,-26.2618
"4466","4465",-51.1610000000001,-26.2618
"4467","4466",-51.1210000000001,-26.2618
"4468","4467",-51.0810000000001,-26.2618
"4596","4595",-51.4410000000001,-26.3018
"4597","4596",-51.4010000000001,-26.3018
"4598","4597",-51.3610000000001,-26.3018
"4599","4598",-51.3210000000001,-26.3018
"4600","4599",-51.2810000000001,-26.3018
"4601","4600",-51.2410000000001,-26.3018
"4602","4601",-51.2010000000001,-26.3018
"4603","4602",-51.1610000000001,-26.3018
"4604","4603",-51.1210000000001,-26.3018
"4734","4733",-51.4010000000001,-26.3418
"4735","4734",-51.3610000000001,-26.3418
"4736","4735",-51.3210000000001,-26.3418
"4737","4736",-51.2810000000001,-26.3418
"4738","4737",-51.2410000000001,-26.3418
"4739","4738",-51.2010000000001,-26.3418
"4740","4739",-51.1610000000001,-26.3418
"4741","4740",-51.1210000000001,-26.3418
"4871","4870",-51.4010000000001,-26.3818
"4872","4871",-51.3610000000001,-26.3818
"4874","4873",-51.2810000000001,-26.3818
"4875","4874",-51.2410000000001,-26.3818
"4876","4875",-51.2010000000001,-26.3818
"4877","4876",-51.1610000000001,-26.3818
"5008","5007",-51.4010000000001,-26.4218
"5012","5011",-51.2410000000001,-26.4218
"5013","5012",-51.2010000000001,-26.4218
