,Q_obs1,Q_obs2,pme,etp,MGB,SAC,GR4,HYMOD,SMAP,IPH2
2017-07-05,14.01,21.811,0.01,1.705,20.33,19.541,30.654,25.819,43.22,37.844
2017-07-06,11.98,20.764,0.0,1.752,19.45,18.423,29.882,25.005,40.43,35.81
2017-07-07,12.65,19.608,0.0,2.046,18.62,17.409,29.165,24.264,37.82,33.886
2017-07-08,12.15,18.618,0.0,2.036,17.85,16.488,28.499,23.586,35.38,32.066
2017-07-09,11.82,17.477,0.0,1.589,17.11,15.649,27.879,22.961,33.096,30.343
2017-07-10,10.85,16.949,0.0,1.795,16.42,14.885,27.299,22.383,30.961,28.713
2017-07-11,11.01,16.265,0.01,2.115,15.77,14.189,26.755,21.845,28.963,27.17
2017-07-12,10.69,15.948,0.03,2.502,15.16,13.554,26.244,21.34,27.094,25.711
2017-07-13,10.22,15.748,0.0,2.704,14.58,12.977,25.76,20.865,25.346,24.329
2017-07-14,10.06,15.002,0.08,2.515,14.04,12.437,25.302,20.416,23.71,23.023
2017-07-15,9.75,13.926,0.06,2.014,13.52,11.954,24.866,19.988,22.18,21.786
2017-07-16,9.45,13.14,0.01,2.484,13.04,11.527,24.45,19.58,20.749,20.616
2017-07-17,9.29,13.064,2.18,2.435,13.23,11.195,24.049,19.224,19.427,19.508
2017-07-18,8.83,14.34,1.65,1.931,13.7,11.093,23.665,18.889,18.185,18.461
2017-07-19,8.54,14.3,0.0,2.245,12.85,11.125,23.296,18.558,17.013,17.469
2017-07-20,8.39,14.1,0.0,2.42,12.08,11.103,22.946,18.234,15.913,16.531
2017-07-21,8.24,,0.0,2.48,11.49,10.969,22.613,17.914,14.884,15.643
2017-07-22,7.95,,0.0,2.279,11.02,10.735,22.298,17.596,13.92,14.803
2017-07-23,7.51,,0.0,2.358,10.62,10.434,22.0,17.28,13.019,14.009
2017-07-24,7.36,,0.0,2.382,10.26,10.098,21.714,16.966,12.177,13.257
2017-07-25,7.22,,0.0,2.836,9.93,9.751,21.436,16.655,11.39,12.545
2017-07-26,7.08,,0.0,2.879,9.62,9.413,21.164,16.347,10.654,11.871
2017-07-27,7.08,,0.0,2.362,9.34,9.093,20.899,16.044,9.966,11.234
2017-07-28,6.8,,0.0,2.661,9.07,8.798,20.641,15.746,9.322,10.631
2017-07-29,6.53,,0.0,2.729,8.81,8.531,20.389,15.453,8.72,10.061
2017-07-30,6.39,,0.0,2.586,8.57,8.29,20.143,15.166,8.157,9.521
2017-07-31,6.25,,0.0,2.278,8.35,8.076,19.902,14.885,7.63,9.01
2017-08-01,6.25,9.37,0.0,2.214,8.13,7.884,19.668,14.609,7.138,8.526
2017-08-02,6.25,9.011,1.05,2.563,10.64,7.743,19.441,14.348,6.679,8.069
2017-08-03,6.8,8.78,20.34,2.755,15.97,8.279,19.329,17.15,8.633,8.033
2017-08-04,7.22,10.689,0.06,3.0,15.86,10.273,19.569,18.719,8.745,7.999
2017-08-05,8.1,11.664,0.02,2.955,12.88,12.195,20.214,20.214,8.14,7.967
2017-08-06,8.24,11.209,0.02,2.936,10.7,13.404,21.328,21.382,7.327,7.937
2017-08-07,7.65,10.212,0.0,3.209,9.57,13.865,23.004,22.134,6.518,7.511
2017-08-08,6.94,8.232,1.04,3.193,8.84,13.766,25.361,22.481,5.793,7.109
2017-08-09,6.25,7.253,0.04,2.94,8.36,13.351,27.027,22.462,5.168,6.728
2017-08-10,5.84,7.014,0.0,2.971,7.94,12.717,26.191,22.147,4.639,6.367
2017-08-11,5.45,6.736,0.01,3.585,7.6,11.951,25.139,21.609,4.191,6.026
2017-08-12,5.07,6.524,0.01,3.485,7.33,11.149,24.175,20.913,3.81,5.703
2017-08-13,4.68,6.481,27.24,3.225,11.17,11.155,23.455,25.604,7.812,8.24
2017-08-14,6.25,8.095,0.77,2.947,18.29,13.176,23.328,28.028,8.462,10.64
2017-08-15,8.24,10.558,2.91,2.703,15.76,15.339,23.887,30.353,7.834,12.912
2017-08-16,8.98,12.024,0.15,2.83,13.63,16.872,25.285,32.07,6.784,15.061
2017-08-17,7.95,11.625,0.02,2.749,11.65,17.49,27.605,33.061,5.714,14.253
2017-08-18,7.8,10.305,0.02,3.073,10.0,17.29,30.975,33.34,4.771,13.488
2017-08-19,7.36,8.539,20.15,3.849,15.42,17.092,33.376,36.004,6.366,14.754
2017-08-20,28.74,17.188,44.43,3.433,34.64,20.749,32.847,51.535,18.098,30.035
2017-08-21,60.76,53.603,0.18,3.426,48.74,30.249,33.875,60.732,25.955,44.494
2017-08-22,70.05,73.243,0.01,3.245,37.37,40.79,37.268,68.985,28.69,58.177
2017-08-23,64.67,69.79,0.02,3.968,27.17,42.124,43.818,75.111,29.211,69.134
2017-08-24,56.56,57.849,0.02,3.805,22.56,41.423,54.795,78.77,28.75,65.419
2017-08-25,42.79,42.356,0.0,4.157,19.79,39.238,68.913,80.088,27.871,61.904
2017-08-26,30.24,30.768,0.0,2.85,17.92,36.162,73.474,79.411,26.755,58.577
2017-08-27,22.17,24.798,0.0,2.688,16.56,32.683,64.434,77.168,25.588,55.429
2017-08-28,19.65,20.07,0.01,3.652,15.5,29.098,56.712,73.787,24.383,52.451
2017-08-29,16.67,17.713,0.0,3.511,14.64,25.769,50.509,69.651,23.047,49.632
2017-08-30,13.49,15.854,0.0,3.95,13.91,22.74,45.449,65.083,21.592,46.965
2017-08-31,13.49,15.295,0.0,2.667,13.27,20.069,41.321,60.338,19.986,44.442
