,Q_obs1,Q_obs2,pme,etp,MGB,SAC,GR4,HYMOD,SMAP,IPH2
2017-07-05,36.79,36.825,0.04,1.805,34.84,43.825,50.029,52.466,57.865,59.106
2017-07-06,36.29,36.44,0.05,1.752,34.39,42.864,48.763,51.233,57.026,56.993
2017-07-07,35.28,35.489,0.0,1.988,33.42,41.904,47.6,50.082,56.216,55.034
2017-07-08,34.78,34.588,0.02,2.178,32.36,40.973,46.526,48.998,55.424,53.219
2017-07-09,33.47,33.868,0.0,1.797,31.45,40.094,45.525,47.971,54.644,51.536
2017-07-10,33.03,32.951,0.0,1.646,30.61,39.271,44.591,46.99,53.875,49.976
2017-07-11,32.15,31.866,0.04,2.095,29.84,38.519,43.716,46.049,53.117,48.528
2017-07-12,32.15,31.725,0.0,2.095,29.14,37.831,42.898,45.142,52.38,47.185
2017-07-13,31.28,31.431,0.0,2.505,28.48,37.193,42.127,44.265,51.665,45.938
2017-07-14,30.84,30.731,0.13,2.488,27.87,36.598,41.397,43.414,50.967,44.779
2017-07-15,29.96,29.631,0.09,2.16,27.3,36.051,40.702,42.586,50.284,43.702
2017-07-16,29.52,28.966,0.02,2.727,26.77,35.619,40.038,41.779,49.616,42.701
2017-07-17,28.65,28.295,0.91,2.456,26.41,35.39,39.405,41.007,48.962,41.77
2017-07-18,27.77,27.274,2.23,2.181,26.41,35.719,38.806,40.338,48.397,40.905
2017-07-19,28.21,28.882,0.04,2.139,27.61,36.091,38.25,39.64,47.788,40.101
2017-07-20,30.84,30.472,0.0,2.668,28.53,36.027,37.741,38.94,47.164,39.351
2017-07-21,29.52,28.504,0.0,2.536,27.59,35.699,37.25,38.235,46.541,38.651
2017-07-22,28.21,27.575,0.02,1.902,26.45,35.235,36.751,37.529,45.924,37.998
2017-07-23,27.33,26.667,0.0,2.031,25.6,34.712,36.264,36.824,45.316,37.389
2017-07-24,26.46,26.522,0.0,2.506,24.91,34.173,35.796,36.127,44.718,36.82
2017-07-25,26.02,25.805,0.0,3.079,24.32,33.648,35.349,35.439,44.131,36.286
2017-07-26,25.65,25.393,0.0,2.912,23.81,33.152,34.916,34.763,43.553,35.786
2017-07-27,25.27,24.886,0.0,2.523,23.36,32.692,34.492,34.1,42.984,35.317
2017-07-28,24.53,24.07,0.0,2.545,22.95,32.265,34.077,33.451,42.424,34.877
2017-07-29,24.15,23.983,0.04,2.503,22.57,31.882,33.674,32.816,41.873,34.463
2017-07-30,23.78,23.729,0.0,2.531,22.22,31.54,33.284,32.195,41.33,34.073
2017-07-31,23.41,23.426,0.0,2.037,21.89,31.22,32.905,31.587,40.795,33.707
2017-08-01,23.04,22.965,0.0,2.221,21.58,30.922,32.539,30.993,40.267,33.361
2017-08-02,23.04,23.536,0.25,2.584,21.89,30.696,32.185,30.412,39.747,33.034
2017-08-03,26.52,25.413,14.0,2.768,25.38,33.523,32.4,33.51,44.775,34.001
2017-08-04,34.97,31.652,0.04,2.892,29.53,37.387,34.427,34.871,45.893,34.893
2017-08-05,35.35,35.426,0.0,2.932,29.38,38.954,38.626,35.69,45.296,34.441
2017-08-06,29.09,29.797,0.08,3.001,27.17,39.115,41.292,35.847,44.035,34.018
2017-08-07,26.02,26.332,0.0,3.325,25.24,38.476,39.342,35.44,42.593,33.62
2017-08-08,25.27,24.448,0.29,2.845,23.9,37.478,37.3,34.633,41.182,33.245
2017-08-09,24.53,23.819,0.01,2.803,22.89,36.336,35.774,33.582,39.883,32.891
2017-08-10,24.15,23.28,0.0,2.681,22.1,35.13,35.003,32.413,38.718,32.557
2017-08-11,23.78,22.528,0.02,3.202,21.45,33.957,34.425,31.219,37.681,32.24
2017-08-12,23.04,21.767,0.06,3.41,20.91,32.881,33.875,30.057,36.758,31.939
2017-08-13,22.29,22.112,15.35,3.146,23.08,35.241,33.931,33.37,42.639,33.532
2017-08-14,26.08,25.641,1.21,2.956,24.54,39.123,35.883,34.691,43.868,35.003
2017-08-15,41.82,38.333,3.83,2.797,30.86,41.517,40.162,35.697,43.398,34.485
2017-08-16,38.8,39.348,0.04,2.373,32.06,42.558,42.999,35.842,41.938,34.002
2017-08-17,35.28,34.453,0.07,2.712,29.98,42.073,41.281,35.327,40.196,33.549
2017-08-18,29.52,29.281,0.0,2.93,27.18,40.755,39.333,34.332,38.481,33.127
2017-08-19,27.33,26.998,11.61,5.283,27.35,41.549,37.834,35.566,40.735,32.731
2017-08-20,63.98,51.398,41.03,5.575,44.01,52.182,40.093,66.825,89.576,58.95
2017-08-21,82.74,79.898,5.91,5.137,61.93,71.871,50.802,83.385,104.274,83.701
2017-08-22,85.76,84.06,0.15,4.379,80.46,79.623,71.427,94.494,102.669,80.028
2017-08-23,88.79,86.346,0.08,5.03,95.53,79.449,82.655,99.45,94.706,76.15
2017-08-24,90.5,89.054,0.02,3.876,85.63,75.748,73.851,99.204,84.994,72.558
2017-08-25,85.76,87.442,0.0,4.223,71.21,70.538,65.061,95.282,75.555,69.231
2017-08-26,75.0,77.741,0.0,3.52,60.5,64.83,58.713,89.147,67.148,66.148
2017-08-27,60.25,61.679,0.0,2.949,52.3,59.216,55.23,81.966,59.974,63.292
2017-08-28,48.02,47.216,0.0,3.016,46.01,53.938,52.672,74.568,53.987,60.646
2017-08-29,36.29,37.461,0.0,3.554,41.13,49.322,50.423,67.485,49.039,58.192
